Questions,Answers,,
What is the types of errors ?,There are 2 types of errors Single-bit error. /Burst-bit error.,,
What is single bit error?,The term single bit error means that only one bit of a given data unit (such as byte character/data unit or packet) is changed from 1 to 0 or from 0 to1.,,
What isBurst error ?, Means that 2 or more bits in the data unit have changed from 1 to 0 from 0 to1.,,
What is redundancy?,"It is the error detecting mechanism, which means a shorter group of bits or extra bits may be appended at the destination of each unit.",,
What is the purpose of hamming code?,A hamming code can be designed to correct burst errors of certain lengths. So the simple strategy used by the hamming code to correct single bit errors must be redesigned to be applicable for multiple bit correction.,,
What is mean by error control?,Error control is a method that can be used to recover the corrupted data whenever possible. These are two basic types of error control which are backward error control and forward error control.,,
What is OSI?,"A standard that specifies a conceptual model called Open systems Interconnection network interface model, which breaks networked communications into seven layers: Application, Presentation, Session, Transport, Network, Data link, Physical.",,
State the major functions performed by the presentation layer of the ISO OSI model? ,"Presentation layer is concerned with the format of data exchanged between peers, for example, whether an integer is 16, 32, or 64 bits long and whether the most significant bit is transmitted first or last, or how a video stream is formatted.",,
State the purpose of layering in networks?,A layer is a collection of related functions that provides services to the layer above it and receives services from the layer below it.To execute the functions by each layer is independent.,,
What are the two fundamental ways by which network performance is measured?,"Bandwidth ,Latency",,
What is ISO/OSI reference model ?,"Physical layer,Data link layer,Network layer,Transport layer,Session layer,Presentation layer,Application layer",,
What is the topologies of the network?,"Mesh topology ,Star topology,Tree topology,Bus topology,Ring topology",,
What is the categories of networks?,"Local Area Network(LAN),Metropolitan Area Network(MAN),Wide Area Network(WAN)",,
What is error detection techniques ?,"Vertical redundancy check(VRC) ,Longitudinal redundancy check(LRC) ,Cyclic redundancy check(CRC) ,Checksum",,
What is error correction techniques ?,"Single-bit error correction , Hamming code , Burst error correction",,
What is error control mechanism?," Stop and wait ARQ, Sliding window ARQ, Go back-n, Selective-reject",,
What are the responsibilities of Network Layer?,The Network Layer is responsible for the source-to-destination delivery of packet possibly across multiple networks (links).,,
What is DHCP?,The Dynamic Host Configuration Protocol has been derived to provide dynamic configuration. DHCP is also needed when a host moves from network to network or is connected and disconnected from a network.,,
Define ICMP?,Internet Control Message Protocol is a collection of error messages that are sent back to the source host whenever a router or host is unable to process an IP datagram successfully.,,
What is the need of internetwork?,"To exchange data between networks, they need to be connected to make an Internetwork.",,
What are the types of class full addressing?,"The types are Class A, Class B, Class C, Class D, and Class E",,
What is BGP Route Validation?,Route validation is an emerging approach in BGP security that verifies the legitimacy of BGP routing information before its propagation. Techniques such as Resource Public Key Infrastructure (RPKI) and BGP Origin Validation help prevent the propagation of forged or unauthorized BGP routes.,,
What is BGP Large Communities?,"BGP Large Communities is an extension to BGP communities that allows the encoding of larger values and provides more flexibility in expressing routing policies. Large Communities enable the tagging and manipulation of routes based on complex policies, making it easier to manage and control the flow of traffic in BGP networks.",,
What is BGP Monitoring Protocol (BMP)?,"BGP Monitoring Protocol is a protocol that allows the collection and monitoring of BGP routing information. BMP provides a standardized way to capture BGP updates, routing tables, and related information for analysis, troubleshooting, and security purposes.",,
What is BGP Add-Path?,"BGP Add-Path is an extension to BGP that allows the advertisement of multiple paths for a single destination prefix. With BGP Add-Path, routers can send and receive backup or alternative paths for a prefix, providing redundancy and flexibility in route selection.",,
What is the default administrative distance of OSPF (Open Shortest Path First)?,The default administrative distance of OSPF is 110.,,
What is the purpose of ARP (Address Resolution Protocol)?,The purpose of ARP is to resolve an IP address to its corresponding MAC address on a local network.,,
What is the maximum hop count in RIP (Routing Information Protocol)?,The maximum hop count in RIP is 15.,,
What is the purpose of a subnet mask?,"A subnet mask is used to divide an IP network into subnetworks, enabling the identification of network and host portions of an IP address.",,
What is the purpose of a default gateway?,The default gateway is used to forward network traffic from a local network to remote networks.,,
What is the purpose of a VLAN (Virtual Local Area Network)?,"VLANs are used to logically segment a single physical network into multiple broadcast domains, improving network efficiency and security.",,
What is the purpose of DNS (Domain Name System)?,"DNS is used to translate domain names (e.g., www.example.com) into their corresponding IP addresses, allowing users to access websites using human-readable names.",,
What is the purpose of NAT (Network Address Translation)?,"NAT is used to translate private IP addresses to public IP addresses or vice versa, enabling devices on a private network to communicate with devices on the internet.",,
What is the purpose of the DHCP (Dynamic Host Configuration Protocol)?,"DHCP is used to automatically assign IP addresses, subnet masks, and other network configuration parameters to devices on a network.",,
What is the purpose of STP (Spanning Tree Protocol)?,"STP is used to prevent network loops in Ethernet networks by selectively blocking redundant paths, ensuring a loop-free topology.",,
What is TCP/IP?,"TCP/IP (Transmission Control Protocol/Internet Protocol) is a suite of communication protocols used to interconnect network devices on the internet. It provides end-to-end connectivity by specifying how data should be formatted, addressed, transmitted, routed, and received.",,
Difference between TCP and UDP?,"TCP (Transmission Control Protocol) is connection-oriented and provides reliable, ordered data transmission. UDP (User Datagram Protocol) is connectionless and does not guarantee delivery or ordering of data.",,
Explain the HTTP protocol?,"HTTP (Hypertext Transfer Protocol) is the foundation of data communication on the World Wide Web. It defines the structure of messages and how they're transmitted, allowing web browsers to retrieve and display web pages.",,
What is SMTP?,SMTP (Simple Mail Transfer Protocol) is used for sending and receiving emails. It works between mail servers to send messages from a client to the server or between servers.,,
Difference between IPv4 and IPv6?,"IPv4 uses 32-bit addresses, allowing for approximately 4.3 billion unique addresses. IPv6 uses 128-bit addresses, enabling significantly more unique IP addresses, essential for the growing number of internet-connected devices.",,
Define FTP?,FTP (File Transfer Protocol) is used to transfer files between a client and a server on a computer network. It allows for the downloading and uploading of files.,,
What is DNS?,"DNS (Domain Name System) translates domain names into IP addresses, making it easier for users to access websites by typing in a domain name rather than a long string of numbers.",,
Explain SNMP?,SNMP (Simple Network Management Protocol) is used to manage devices on IP networks. It is commonly used in network management systems to monitor network-attached devices for conditions that warrant administrative attention.,,
Describe SSH?,SSH (Secure Shell) is a cryptographic network protocol used for secure communication over an unsecured network. It provides a secure channel over an insecure network by using encryption and authentication.,,
What do you mean by ARP?,ARP stands for Address resolution protocol. ARP is a dynamic mapping method that finds a physical address for a given a logical address. i.e. mapping IP address to physical address.,,
What do you mean by RARP?,"RARP stands for Reverse Address resolution protocol, maps a MAC address to an IP address.",,
What are the functions of MAC?,"MAC sub layer resolves the contention for the shared media. It contains synchronization, flag, flow and error control specifications necessary to move information from one place to another, as well as the physical address of the next station to receive and route a packet.",,
Define the term medium access control mechanism?,The protocol that determines who can transmit on a broadcast channel are called medium access control (MAC) protocol. The MAC protocols are implemented in the Mac sub-layer which is the lower sublayer of the data link layer.,,
What is bridge?,Bridge is a hardware networking device used to connect two LANs. A bridge operates at data link layer of the OSI reference model.,,
What is a repeater?,Repeater is a hardware device used to strengthen signals being transmitted on a network.,,
Define router?,A network layer device that connects networks with different physical media and translates between different network architecture.,,
What is a switch?,A switch is a networking device that manages networked connections between devices on a star networks.,,
What is mean by Ethernet?,Ethernet is a networking technology developed in 1970 which is governed by the IEEE 802.3 specifications.,,
What is the advantages of Ethernet?,"Inexpensive ,Easy to install ,Supports various writing technologies.",,
Identify the class and default subnet mask of the IP address 217.65.10.7 ?,IP Address 217.65.10.7 belongs to Class C. Its subnet mask is 255.255.255.0.,,
What are the limitations of bridges?," Scale, Heterogeneity",,
Define Bluetooth ?,Bluetooth is a wireless technology standard for exchanging data over short distances (using shortwavelength UHF radio waves in the ISM band from 2.4 to 2.485 GHz) from fixed and mobile devices and building personal area networks (PANs).,,
What are the 3 levels of hierarchy in IP Addressing?," Netid, Subnetid, Hostid",,
What are the functions of bridge?," Connecting networks, Filtering information so that network traffic for one portion of the network does not congest the rest of the network.",,
Define sub- netting ?,Sub-netting is a technique that allows a network administrator to divide one physical network into smaller logical networks and thus control the flow of traffic for security or efficiency reasons.,,
Explain detail about IEEE 802.3 MAC sub-layer?,"Frame format,Frame length,Ethernet specification,Manchester encoding,Binary exponential Back off algorithm,Ethernet performance",,
Explain detail about Bluetooth architecture?,"Radio layer,Baseband layer,Frame format,L2CAP,Hidden Station Problem",,
Explain about IPv4 address ?,"Classful addressing,Special IP addressing,Classless addressing,Header format,IP fragmentation Options,Sub-netting a network",,
Explain about Address resolution protocol Packet format?,"Encapsulation,Proxy ARP",,
Explain about RARP?,"Frame Format of RARP , Encapsulation",,
Explain about Internet Control Message Protocol ?,"Message types,Message format,Error Reporting,Echo Request and reply,Time stamp request and reply,Address mask request and reply message.",,
What is routing?,Routing is a process of selecting paths in a network through which network traffic is sent.,,
Define an internetwork.?,A collection of interconnected network is called an internetwork.,,
What does routing metric mean?,A routing metric is a unit calculated by a routing algorithm for selecting or rejecting a routing path for transferring data/traffic.,,
What are the metrics used in determining the best path for a routing protocol?," Bandwidth, Delay, Load, Reliability, Cost, Hop count, MTU, Ticks",,
What is multicasting?,Multicasting is the delivery of information to a group of destinations simultaneously using the mostefficient strategy to deliver the messages over each link of the network only once.,,
What are different types of multicast routing?,"Reverse path multicasting , Reverse path broadcasting",,
What is multicast? What is the motivation for developing multicast?,Multicasting means delivering the same packet simultaneously to a group of clients. Motivation for developing multicast is that there are applications that want to send a packet to more than one destination hosts.,,
Define RIP?,RIP is a dynamic protocol used for finding the best route or path from ene-to-end over a network by using a routing metric/ hop count algorithm.,,
What is OSPF?,OSPF protocol is a router protocol used within larger autonomous system networks in preference to the Routing Information Protocol (RIP).,,
What are the features of OSPF?," Authentication of routing messages, Additional hierarchy, Load balancing",,
Mention any four applications of multicasting?," Broad casts of audio and video, Video conferencing, Shared Applications, IGMP is used by multicast routers to keep track of membership in a multicast group.",,
Describe the process of routing packets ?,Routing is the act of moving information across an internetwork from a source to a destination.,,
What are the some routing algorithm types?,"The routing types are static, dynamic, flat, hierarchical, host-intelligent, router- intelligent, intra-domain, inter-domain, link state and distance vector.",,
What is a benefit of DHCP?,"Simplicity: clients need to manual configuration, Mobility and hosts: Hosts may move between networks without reconfiguring, Mobility of network: Possible for internet service providers to reconfigure customers address transparently., Save address space if individual clients are not always active.",,
What are the 3 types of routing performed by BGP?,"Inter-autonomous system routing, Intra-autonomous system routing, Pass through autonomous system routing",,
What are the different kinds of multicast routing?,"DVMRP, PIM, MSDP, MOSPF ,MBGP",,
Write the types of PIM ?,"PIM Sparse mode, PIM Dense mode, Bidirectional PIM, Source Specific Multicast (SSM)",,
How can the routing be classified?,"The routing can be classified as,Adaptive routing ,Non-adaptive routing.",,
What are the salient features of IPv6?,"Salient features are: Efficient and hierarchical addressing and routing infrastructures, IPv6 networks provide auto configuration capabilities, Better support for QOS, Large Address space.",,
Write the BGP Message types ?,"Open, Update, Notification, Keep-alive",,
Explain IP addressing method?,"Internetwork protocol (IP) Datagram, Addressing Classes, Dotted decimal notation",,
What is the type of bridges?,"Simple bridge, Multi-port bridge ,Transparent bridge",,
Explain sub-netting ?,"Three levels of hierarchy masking, Masks without sub-netting, Masks with sub-netting, Finding the sub-network address, Boundary level masking, Non-boundary level masking",,
Write short notes about routers ?,"Routing concepts, Least-cost routing, Non adaptive routing, Adaptive routing, Packet lifetime",,
What are the fields on which the UDP checksum is calculated? Why?,"UDP checksum includes a pseudo header, the UDP header and the data coming from the application layer.",,
What are the advantages of using UDP over TCP?,"UDP does not include the overhead needed to detect reliability , It does not need to maintain the unexpected deception of data flow , UDP requires less processing at the transmitting and receiving of hosts. , It is simple to use for a network, The OS does not need to maintain UDP connection information.",,
What is TCP?,"TCP provides a connection oriented, reliable byte stream service. The connection oriented means the two applications using TCP must establish a TCP connection with each other before they can exchange data.",,
Define congestion ?,"When too many packets rushing to a node or a part of network, the network performance degrades. This situation is called as congestion.",,
What is the flag used in TCP header ?,"TCP header contains six flags. They are URG, ACK, PSH, RST, SYN, FIN",,
What is the approaches to improve the QoS ?,"Fine grained approaches, which provide QoS to individual applications or flows. Integrated services, QoS architecture developed in the IETE and often associated with RSVP.",,
What do you mean by QoS?,Quality of Service is used in some organizations to help provide an optimal end user experience for audio and video communications. QoS is most commonly used on networks where bandwidth is limited with a large number of network packets competing for a relatively small amount of available and width.,,
What is multiplexing?,"The job of gathering data chunks at the sources host from different sockets, encapsulating each data chunks with header information to create segments, and passing the segments to the network layer is called multiplexing.",,
What is de-multiplexing?,The job of delivering the data in a transport layer segment to the correct socket is called demultiplexing.,,
What is RTT?,"RTT is an acronym for Round Trip Time: it is a measure of the time it takes for a packet to travel from a computer, across a network to another computer, and back.",,
What is the segment?,Transport layer protocols send data as a sequence of packets. In TCP/IP these packets are called segments.,,
What is a port?,Applications running on different hosts communicate with TCP with the help of a concept called as ports. A port is a 16 bit unique number allocated to a particular application.,,
What is the services of end to end services?,"Guarantee message delivery, Delivery messages in the same order they are sent , Deliver at most one copy of each message, Support arbitrarily large message. , Support synchronization.",,
What is congestion?,"When load on network is greater than its capacity, there is congestion of data Packets. Congestion occurs because routers and switches have queues or buffers.",,
What are the functions of transport layer?,"Breaks messages into packets , Connection control. , Addressing. ,Provide reliability.",,
What are the types of QoS tools?,"Classification Congestion management, Congestion avoidance , Shaping/policing , Link efficiency",,
List some ways to deal with congestion ?,"packet elimination , Flow control , Buffer allocation , Choke packets",,
Define network congestion?,When two or more nodes would simultaneously try to transmit packets to one node there is a high probability that the number of packets would exceed the packet handling capacity of the network and lead to congestion.,,
What is the three types of addresses in TCP/IP?,"Three types of addresses are used by systems using the TCP/IP protocol: the physical address, the internetwork address (IP address), and the port address.",,
What is the flow characteristics related to QoS?,"Reliability , Delay , Jitter , Bandwidth",,
What are the techniques to improve QoS?,"Scheduling , Traffic shaping , Resource reservation , Admission control",,
What is Socket address?,The combination of IP address and port address is called Socket address.,,
What are the two types of protocols used in Transport layer?,"TCP , UDP",,
Define Throughput?,It is defines as a number of packets passing through the network in a unit of time.,,
Define UDP?,"User datagram protocol is a Unreliable, connectionless protocol, used along with the IP protocol.",,
What is the need of port numbers?,Port numbers are used as an addressing mechanism in transport layer.,,
What are the types of port numbers used in transport layer?,"Well-known port , Registered port , Dynamic port",,
Why TCP services are called Stream delivery services?,TCP allows the sending process to deliver data as a stream of bytes and the receiving process to deliver data as a stream of bytes. So it is called as stream of bytes.,,
Define jitter?,"Jitter is defined as a variation in the delay of received packets. The sending side transmits packets in a continuous stream and spaces them evenly apart. Because of network congestion, improper queuing, or configuration errors, the delay between packets can vary instead of remaining constant.",,
Explain connectionless service ?,In connection less service there is no connection between transmitter & receiver Ex: UDP,,
Explain connection oriented service?,In connection oriented service there is a connection between transmitter & receiver Ex: TCP,,
What is Unicast communication?,Unicast communication is one source sending a packet to one destination.,,
What is Multicast communication?,Multicast communication is one source sending a packet to multiple destinations.,,
Explain the duties of transport layer?,"End to end delivery , Addressing , Reliable delivery , Error control , Sequence control , Loss control , Duplication control , Flow control , Multiplexing",,
What is UDP?,"Source port address , Destination port address , Total length , Checksum",,
What is TCP?,"Source port address,Destination port address,Sequence number,Acknowledgement number,Header length,Reserved Control,Window size,Check sum,Urgent pointer,Options and padding",,
What is congestion control?,"Congestion Control , BECN , FECN , Four situations , Discarding",,
What is Congestion Avoidance?,"DECbit scheme , RED",,
What is QoS Policing in detail?,"Integrated service , Traffic Shaping , Admission Control , RSVP , Differentiated Services/Qos",,
Define the two types of user agents in the electronic mail system?,"command driven , GUI based",,
Explain the command driven ?,It normally accepts a one character command from the keyboard to perform its task.,,
Explain the GUI based ?,They contain GUI components that allow the user to interact with the software by using both the keyword and mouse.,,
What is DNS?,DNS is a client/server application that identifies each host on the internet with a unique user friendly name.,,
What is the purpose of inverse domain?,The inverse domain is used to map an address to a name.,,
What is SMTP?,Simple Mail Transfer Protocol is a standard and reliable host to host mail transport protocol that operates over the TCP port 25.,,
What is the Purpose of SNMP?,"The primary purpose of SNMP is to allow the network administrator to monitor and configure devices on the network, remotely via the network. These configuration and monitoring capabilities are collectively referred to as management.",,
What is the Domain name system responsible for?,The Domain Name system converts domain names (of the form www.vtubooks.com) into IP numbers.,,
What are the four main properties of HTTP?,"Global Uniform Resource Identifier, Request response exchange, Statelessness, Resource meta data",,
What is SMTP used for?,"SMTP is used when email is delivered from an email client, such as Outlook Express, to an email server or when email is delivered from one email server to another.",,
What is virtual terminal?,A virtual terminal is a data structure maintained by either the application software or a local terminal.,,
What are the basic functions of email?,"Composition, Transfer, Reporting, Displaying and Disposition of mails.",,
Define WWW?,It is an internet application that allows users to view web pages and move from one web page to another.,,
What is the web browser?,Web browser is a software program that interprets and displays the contents of HTML web pages.,,
What is URL?,URL is a string identifier that identifies a page on the World Wide Web.,,
What do you mean by TELNET?,TELNET is used to connect remote computers and issue commands on those computers.,,
What is simple mail transfer protocol?,The TCP/IP protocol that supports electronic mail on the internet is called Simple Mail Transfer Protocol (SMTP). It is a system for sending messages to other computer users based on email addresses.,,
What do you mean by File transfer protocol?,It is a standard mechanism provided by the internet for copying a file from one host to another.,,
What are the two types of connections in FTP?,"Control connection , Open connection",,
Define HTTP?,"It is used mainly to access data on the World Wide Web. The protocol transfers data in the form of plaintext, hypertext, audio, video and soon.",,
What are the types of messages in HTTP transaction?,"Request messages, Response messages",,
What are the parts of a browser?,"A controller, A client program, Interpreter",,
Name the four aspects of security?,"Privacy, Authentication, Integrity, Non-repudiation",,
What is POP?,"Post Office Protocol, version3 (POP3) and Internet Mail Access Protocol version4 (IMAP4) are protocol used by a mail server in conjunction with SMTP to receive and hold mail for hosts.",,
What is the function of SMTP?,The TCP/IP protocol supports electronic mail on the Internet is called Simple Mail Transfer (SMTP). It is a system for sending messages to other computer users based on email addresses. SMTP provides mail exchange between users on the same or different computers.,,
How does MIME enhance SMTP?,MIME is a supplementary protocol that allows non-ASCII data to be sent through SMTP. MIME transforms non-ASCII data at the sender site to NVT ASCII data and deliverers it to the client SMTP to be sent through the Internet.,,
Why is an application such as POP needed for electronic messaging?,"Workstations interact with the SMTP host, which receives the mail on behalf of every host in the organization, to retrieve messages by using a client-server protocol such as Post Office Protocol, version 3(POP3).",,
Write short notes on FTP?,"Transfer a file from one system to another, TCP connections, Basic model of FTP",,
What is HTTP?,"HTTP transactions,HTTP messages,URL",,
What is the WWW in detail?,"Hypertext & Hypermedia,Browser Architecture,Categories of Web Documents,HTML,CGI Java",,
What is Electronic mail?,"Email addressing,Message headers,Formatted email,Functions of email,User agent and message transfer agent,Simple mail Transfer protocol,Multipurpose internet mail extensions,Post Office Protocol (POP),IMAP",,
What is Domain Name System?,"Components of DNS is DNS in the internet Name space,Domain name Space Resolution,Message format Resource records,Name servers,Dynamic Domain Same system (DDNS)",,
What is a network ?,A network is the connection of two or more computers. These computers are linked together.,,
What are the responsibilities of Application Layer?,"The Application Layer enables the user, whether human or software, to access the network. It provides user interfaces and support for services such as e-mail, shared database management and other types of distributed information services",,
What are the three types of WWW documents ?,"static, dynamic and active.",,
Explain the static WWW documents ?,Fixed-content documents that are created and stored in a server.,,
Explain the dynamic WWW docunents ?,Created by web server whenever a browser requests the document.,,
Explain the active WWW documents ?,A program to be run at the client side.,,
What is fully Qualified Domain Name?,If a label is terminated by a null string is called a Fully Qualified Domain Name.,,
What is Generic Domains?,Generic domain defines registered hosts according to their generic behavior. Each node in the tree defines a domain .,,
What are the functions of SMTP?,System for sending messages to other computer users based on e-mail addresses.,,
How does the functions of SMTP work ?,"SMTP provides mail exchange between users on the same or different computers:User Agent,Mail Transfer Agent,Multipurpose Internet Mail Extensions,Post Office Protocol",,
What is physical media?,"Twisted pair cable,Coaxial cable,ISDN line",,
What is Twisted pair cable?,consists of two independently insulated wires twisted around each other,,
What is Coaxial cable ?,consists of an insulated center wire grounded by a shield of braided wire Fiber optic cable ?╟⌠ contains hundreds of clear fiberglass or plastic fibers,,
What is ISDN line?,ISDN line ?╟⌠ a special digital telephone line that transmits and receives information at very high speeds,,
What is wireless media ?,"Microwave system ,Satellite system ,Cellular technology",,
What is Microwave system ?,transmits data via high-frequency radio signals through the atmosphere,,
What is Satellite system ?,"receive signals from the earth, amplify them, and then transmit back these signals to the appropriate locations on the earth.",,
What is Cellular technology ?,uses antennae resembling telephone towers to pick up radio signals within a specific area,,
What is network typologies ?,Network Topology  is refers to the way computers and its peripheral environment  is configured to form networks.,,
What are the kinds of network topology ?,"Bus topology ,Star topology ,Ring topology ,Hybrid topology",,
Explain the Bus topology?,all computers are synchronize by a single line of cable.,,
Explain the Star topology?,"multiple computers are linked to a main computer, which is called a host",,
What is BGP Route Validation?,Route validation is an emerging approach in BGP security that verifies the legitimacy of BGP routing information before its propagation. Techniques such as Resource Public Key Infrastructure (RPKI) and BGP Origin Validation help prevent the propagation of forged or unauthorized BGP routes.,,
What is BGP Large Communities?,"BGP Large Communities is an extension to BGP communities that allows the encoding of larger values and provides more flexibility in expressing routing policies. Large Communities enable the tagging and manipulation of routes based on complex policies, making it easier to manage and control the flow of traffic in BGP networks.",,
What is BGP Monitoring Protocol (BMP)?,"BGP Monitoring Protocol is a protocol that allows the collection and monitoring of BGP routing information. BMP provides a standardized way to capture BGP updates, routing tables, and related information for analysis, troubleshooting, and security purposes.",,
What is BGP Add-Path?,"BGP Add-Path is an extension to BGP that allows the advertisement of multiple paths for a single destination prefix. With BGP Add-Path, routers can send and receive backup or alternative paths for a prefix, providing redundancy and flexibility in route selection.",,
What is the default administrative distance of OSPF (Open Shortest Path First)?,The default administrative distance of OSPF is 110.,,
What is the purpose of ARP (Address Resolution Protocol)?,The purpose of ARP is to resolve an IP address to its corresponding MAC address on a local network.,,
What is the maximum hop count in RIP (Routing Information Protocol)?,The maximum hop count in RIP is 15.,,
What is the purpose of a subnet mask?,"A subnet mask is used to divide an IP network into subnetworks, enabling the identification of network and host portions of an IP address.",,
What is the purpose of a default gateway?,The default gateway is used to forward network traffic from a local network to remote networks.,,
What is the purpose of a VLAN (Virtual Local Area Network)?,"VLANs are used to logically segment a single physical network into multiple broadcast domains, improving network efficiency and security.",,
What is the purpose of DNS (Domain Name System)?,"DNS is used to translate domain names (e.g., www.example.com) into their corresponding IP addresses, allowing users to access websites using human-readable names.",,
What is the purpose of NAT (Network Address Translation)?,"NAT is used to translate private IP addresses to public IP addresses or vice versa, enabling devices on a private network to communicate with devices on the internet.",,
What is the purpose of the DHCP (Dynamic Host Configuration Protocol)?,"DHCP is used to automatically assign IP addresses, subnet masks, and other network configuration parameters to devices on a network.",,
What is the purpose of STP (Spanning Tree Protocol)?,"STP is used to prevent network loops in Ethernet networks by selectively blocking redundant paths, ensuring a loop-free topology.",,
What is TCP/IP?,"TCP/IP (Transmission Control Protocol/Internet Protocol) is a suite of communication protocols used to interconnect network devices on the internet. It provides end-to-end connectivity by specifying how data should be formatted, addressed, transmitted, routed, and received.",,
Difference between TCP and UDP?,"TCP (Transmission Control Protocol) is connection-oriented and provides reliable, ordered data transmission. UDP (User Datagram Protocol) is connectionless and does not guarantee delivery or ordering of data.",,
Explain the HTTP protocol?,"HTTP (Hypertext Transfer Protocol) is the foundation of data communication on the World Wide Web. It defines the structure of messages and how they're transmitted, allowing web browsers to retrieve and display web pages.",,
What is SMTP?,SMTP (Simple Mail Transfer Protocol) is used for sending and receiving emails. It works between mail servers to send messages from a client to the server or between servers.,,
Difference between IPv4 and IPv6?,"IPv4 uses 32-bit addresses, allowing for approximately 4.3 billion unique addresses. IPv6 uses 128-bit addresses, enabling significantly more unique IP addresses, essential for the growing number of internet-connected devices.",,
Define FTP?,FTP (File Transfer Protocol) is used to transfer files between a client and a server on a computer network. It allows for the downloading and uploading of files.,,
What is DNS?,"DNS (Domain Name System) translates domain names into IP addresses, making it easier for users to access websites by typing in a domain name rather than a long string of numbers.",,
Explain SNMP?,SNMP (Simple Network Management Protocol) is used to manage devices on IP networks. It is commonly used in network management systems to monitor network-attached devices for conditions that warrant administrative attention.,,
Describe SSH?,SSH (Secure Shell) is a cryptographic network protocol used for secure communication over an unsecured network. It provides a secure channel over an insecure network by using encryption and authentication.,,
Explain the Ring topology?,"each computer is connected to two other computers, with the entire network. It forms a circle",,
Explain the Hybrid topology?,combine network layout types to meet their wants.,,
What is network /communication protocols?,A protocol is s an agreed/admitted set of rules and procedures for exchanging data between two or more devices.,,
What are the communication types?,"Uni-casting ,Multi-casting ,Broadcasting",,
What is Uni-casting ?,Here one to one communication occurs,,
What is Multi-casting?,Here one to many communication occurs,,
What is Broadcasting?,here one to all communication occurs.,,
What is client/server network?,"Here nodes and servers share data roles., Nodes are defined as clients., To control access servers are used., The server is the most important part computer.",,
What is STAR connectivity in the computer network?,Here all nodes are connected to a hub. Packets sent to the hub. Again packets are sent by Hub to the destination.,,
What is the advantages of STAR connectivity in the computer network?,"It is easy to set up in a network. , One single cable cannot crash the whole network.",,
What is the disadvantages of STAR connectivity in the computer network?,"One single hub crashing downs the whole network , It uses a lot of cables , It is the most common topology",,
What is RING connectivity in computer network?,Here all nodes are  connected in a circle. Token is used for transferring data from computers. Here nodes  waits for token to send.,,
What is the advantages of RING connectivity in computer network?,"Time for sending data is known. , Here no data collisions occurs",,
What is the disadvantages of RING connectivity in computer network?,"Connection is very slow , Lots of cable required.",,
What is Hub?,It is a multi-port repeater to enhance signals within the same LAN,,
What is Switch?,It is mostly like hub but it is more intelligent.It gives better performance,,
What is Router?,It forwards packets from one LAN to another LAN.,,
What is Protocol?,The protocol is the SET OF RULES THAT GOVERN DATA COMMUNICATION.,,
How do we connect two devices?,"By the help of connecting links only. The connecting links are nothing but the protocols which are used to make the computers or other devices communicate , only two devices can communicate with each other.,These devices in networking or even called as nodes.",,
What are the two ways that devices can connect to each other ?,"Point to point connection , Multipoint connection",,
What is the point to point and multipoint connection in NETWORKING?,they are the two ways through which the devices can connect to each other.,,
What is the special case of multipoint connection?,point to point connection,,
What is Point to point connection?,"The sender is connected to one receiver in this., Point to point protocol is abbreviated as PPP. ,We can connect two devices with the help of wires.",,
What is Multipoint connection?,When the connection link is used to by Mamy receivers it is called as multipoint or multi-drop configuration.,,
What is multi-drop configuration?,When the user uses the connection link on turns basis then this configuration will become time shared line configuration.,,
What is PPP stands for ?,point to point connection protocol,,
"What are P2MP , PTMP or PMP stands for ?",point to multipoint connection protocol.,,
What is the Real Time example of multipoint connection?,"Router connected to the mobile phone, laptop, a tablet is the real-time example of the multipoint connection.",,
what is the Real Time example of multipoint configuration?,Central CPU connected to many PCs within the office is a real-time example of the multipoint configuration.,,
What is the application of point to point configuration?,PPP is like the data link layer protocol only. Used for connection over the synchronous and asynchronous circuits,,
What is the application of  multipoint configuration?,Multipoint configuration is used for the purpose of broadcasting. What we called as the broadcasting network. Multipoint configuration also used in multicasting.,,
What is a computer network?,"A computer network is a collection of interconnected devices, such as computers, servers, routers, switches, and other peripherals, that are linked together to facilitate communication and the sharing of resources.",,
What is the purpose of a router in a computer network?,A router is a network device that forwards data packets between different networks. It determines the best path for data to travel and ensures that it reaches its intended destination.,,
What is an IP address?,An IP address (Internet Protocol address) is a unique numerical identifier assigned to each device connected to a computer network. It is used to identify and locate devices on the network.,,
What is a firewall?,"A firewall is a security device or software that monitors and controls incoming and outgoing network traffic based on predetermined security rules. It acts as a barrier between a trusted internal network and untrusted external networks, protecting against unauthorized access and network threats.",,
What is the purpose of DNS in computer networks?,DNS (Domain Name System) is a system that translates human-readable domain names (such as www.example.com) into IP addresses. It enables users to access websites and other resources on the internet using memorable domain names instead of IP addresses.,,
What is the difference between LAN and WAN?,"A LAN (Local Area Network) is a network that connects devices within a limited geographical area, such as a home, office, or campus. A WAN (Wide Area Network) is a network that spans a large geographical area, connecting multiple LANs together, often using public or private telecommunications infrastructure.",,
What is the purpose of DHCP in computer networks?,DHCP (Dynamic Host Configuration Protocol) is a network protocol that automatically assigns IP addresses and other network configuration parameters to devices on a network. It simplifies the process of network device configuration and management.,,
What is packet loss in computer networks?,"Packet loss occurs when data packets being transmitted over a network fail to reach their destination. It can be caused by network congestion, faulty hardware, or other network issues, and can result in degraded network performance and data transmission errors.",,
