Questions,Answers,
What is a ternary relationship?,A ternary relationship involves three entities and represents a connection between them.,
What is an associative relationship?,"An associative relationship is a many-to-many relationship between two entities, typically represented by an associative entity.",
What is a dependent entity?,A dependent entity is an entity that cannot exist without being associated with another entity.,
What is an independent entity?,An independent entity is an entity that can exist on its own without being associated with another entity.,
What is an optional relationship?,An optional relationship is a relationship where one entity may or may not be associated with another entity.,
What is a mandatory relationship?,A mandatory relationship is a relationship where one entity must be associated with another entity.,
What is a surrogate key?,A surrogate key is a system-generated unique identifier used as a primary key when natural keys are unavailable or unsuitable.,
What is an entity-relationship diagram (ERD)?,An entity-relationship diagram is a visual representation of the relationships between entities in a database.,
What is a weak entity?,A weak entity is an entity that cannot be uniquely identified by its attributes alone and relies on a related entity's existence.,
What is a strong entity?,"A strong entity is an entity that can be uniquely identified by its own attributes, without relying on another entity.",
"What is a recursive foreign key, and how is it used?","A recursive foreign key is a foreign key that references the same table, often used to represent hierarchical relationships within a table.",
What is the purpose of an associative table in a database schema?,An associative table resolves a many-to-many relationship by storing combinations of primary key values from related tables.,
What is denormalization?,Denormalization is the process of intentionally introducing redundancy into a database schema to improve query performance.,
What is a transitive dependency?,A transitive dependency exists when a non-prime attribute depends on another non-prime attribute rather than the candidate key.,
What is a functional dependency?,A functional dependency occurs when the value of one attribute uniquely determines the value of another attribute in the same table.,
What is a superkey?,"A superkey is a set of one or more attributes that, taken collectively, uniquely identifies each record in a table.",
What is a candidate key?,"A candidate key is a minimal superkey, meaning it is a superkey with no unnecessary attributes.",
What is a recursive relationship?,A recursive relationship occurs when a table is related to itself through a foreign key.,
What is inheritance in database design?,"Inheritance allows attributes and relationships defined in one entity to be inherited by another entity, facilitating reuse and simplifying data modeling.",
What is a subtype?,A subtype is a specialized entity that inherits attributes and relationships from a supertype.,
What is a supertype?,A supertype is a generalized entity that provides common attributes and relationships shared by multiple subtypes.,
What is the purpose of a join table in a many-to-many relationship?,A join table resolves a many-to-many relationship by storing combinations of primary key values from both related tables.,
What is a recursive relationship?,A recursive relationship occurs when a table is related to itself through a foreign key.,
What is the difference between horizontal and vertical partitioning?,"Horizontal partitioning divides a table by rows, while vertical partitioning divides a table by columns.",
What is a ternary relationship?,A ternary relationship involves three entities and represents a connection between them.,
What is an associative relationship?,"An associative relationship is a many-to-many relationship between two entities, typically represented by an associative entity.",
What is a dependent entity?,A dependent entity is an entity that cannot exist without being associated with another entity.,
What is an independent entity?,An independent entity is an entity that can exist on its own without being associated with another entity.,
What is an optional relationship?,An optional relationship is a relationship where one entity may or may not be associated with another entity.,
What is a mandatory relationship?,A mandatory relationship is a relationship where one entity must be associated with another entity.,
What is a surrogate key?,A surrogate key is a system-generated unique identifier used as a primary key when natural keys are unavailable or unsuitable.,
What is an entity-relationship diagram (ERD)?,An entity-relationship diagram is a visual representation of the relationships between entities in a database.,
What is a weak entity?,A weak entity is an entity that cannot be uniquely identified by its attributes alone and relies on a related entity's existence.,
What is a strong entity?,"A strong entity is an entity that can be uniquely identified by its own attributes, without relying on another entity.",
"What is a recursive foreign key, and how is it used?","A recursive foreign key is a foreign key that references the same table, often used to represent hierarchical relationships within a table.",
What is the purpose of an associative table in a database schema?,An associative table resolves a many-to-many relationship by storing combinations of primary key values from related tables.,
What is denormalization?,Denormalization is the process of intentionally introducing redundancy into a database schema to improve query performance.,
What is a transitive dependency?,A transitive dependency exists when a non-prime attribute depends on another non-prime attribute rather than the candidate key.,
What is a functional dependency?,A functional dependency occurs when the value of one attribute uniquely determines the value of another attribute in the same table.,
What is a superkey?,"A superkey is a set of one or more attributes that, taken collectively, uniquely identifies each record in a table.",
What is a candidate key?,"A candidate key is a minimal superkey, meaning it is a superkey with no unnecessary attributes.",
What is a composite key?,A composite key is a primary key composed of multiple attributes.,
What is a natural key?,A natural key is a type of composite key composed of attributes that already exist in the real world and have inherent meaning.,
What is the difference between a primary key and a unique key?,"A primary key is a column or a set of columns that uniquely identifies each record in a table and cannot contain null values. A unique key, on the other hand, ensures that all values in a column or a set of columns are distinct, but it can contain null values.",
What is a self-referencing relationship?,A self-referencing relationship occurs when a table contains a foreign key that references its own primary key.,
What is the difference between identifying and non-identifying relationships?,"In an identifying relationship, the child table's primary key includes the parent table's primary key. In a non-identifying relationship, it does not.",
What is inheritance in database design?,"Inheritance allows attributes and relationships defined in one entity to be inherited by another entity, facilitating reuse and simplifying data modeling.",
What is a subtype?,A subtype is a specialized entity that inherits attributes and relationships from a supertype.,
What is a supertype?,A supertype is a generalized entity that provides common attributes and relationships shared by multiple subtypes.,
What is a recursive relationship?,A recursive relationship occurs when a table is related to itself through a foreign key.,
What is inheritance in database design?,"Inheritance allows attributes and relationships defined in one entity to be inherited by another entity, facilitating reuse and simplifying data modeling.",
What is a subtype?,A subtype is a specialized entity that inherits attributes and relationships from a supertype.,
What is a supertype?,A supertype is a generalized entity that provides common attributes and relationships shared by multiple subtypes.,
What is the purpose of a join table in a many-to-many relationship?,A join table resolves a many-to-many relationship by storing combinations of primary key values from both related tables.,
What is a recursive relationship?,A recursive relationship occurs when a table is related to itself through a foreign key.,
What is the difference between horizontal and vertical partitioning?,"Horizontal partitioning divides a table by rows, while vertical partitioning divides a table by columns.",
What is a ternary relationship?,A ternary relationship involves three entities and represents a connection between them.,
What is an associative relationship?,"An associative relationship is a many-to-many relationship between two entities, typically represented by an associative entity.",
What is a dependent entity?,A dependent entity is an entity that cannot exist without being associated with another entity.,
What is an independent entity?,An independent entity is an entity that can exist on its own without being associated with another entity.,
What is an optional relationship?,An optional relationship is a relationship where one entity may or may not be associated with another entity.,
What is a mandatory relationship?,A mandatory relationship is a relationship where one entity must be associated with another entity.,
What is a surrogate key?,A surrogate key is a system-generated unique identifier used as a primary key when natural keys are unavailable or unsuitable.,
What is an entity-relationship diagram (ERD)?,An entity-relationship diagram is a visual representation of the relationships between entities in a database.,
What is a weak entity?,A weak entity is an entity that cannot be uniquely identified by its attributes alone and relies on a related entity's existence.,
What is a strong entity?,"A strong entity is an entity that can be uniquely identified by its own attributes, without relying on another entity.",
"What is a recursive foreign key, and how is it used?","A recursive foreign key is a foreign key that references the same table, often used to represent hierarchical relationships within a table.",
What is the purpose of an associative table in a database schema?,An associative table resolves a many-to-many relationship by storing combinations of primary key values from related tables.,
What is denormalization?,Denormalization is the process of intentionally introducing redundancy into a database schema to improve query performance.,
What is a transitive dependency?,A transitive dependency exists when a non-prime attribute depends on another non-prime attribute rather than the candidate key.,
What is a functional dependency?,A functional dependency occurs when the value of one attribute uniquely determines the value of another attribute in the same table.,
What is a superkey?,"A superkey is a set of one or more attributes that, taken collectively, uniquely identifies each record in a table.",
What is a candidate key?,"A candidate key is a minimal superkey, meaning it is a superkey with no unnecessary attributes.",
What is a composite key?,A composite key is a primary key composed of multiple attributes.,
What is a natural key?,A natural key is a type of composite key composed of attributes that already exist in the real world and have inherent meaning.,
What is the difference between a primary key and a unique key?,"A primary key is a column or a set of columns that uniquely identifies each record in a table and cannot contain null values. A unique key, on the other hand, ensures that all values in a column or a set of columns are distinct, but it can contain null values.",
What is a self-referencing relationship?,A self-referencing relationship occurs when a table contains a foreign key that references its own primary key.,
What is the difference between identifying and non-identifying relationships?,"In an identifying relationship, the child table's primary key includes the parent table's primary key. In a non-identifying relationship, it does not.",
What is the purpose of referential integrity in a database?,Referential integrity ensures that relationships between tables remain consistent by enforcing rules on foreign key values.,
Explain the concept of cascading updates and deletes in database relationships.,"Cascading updates and deletes automatically propagate changes made to a primary key to related foreign key columns, maintaining referential integrity.",
What is the difference between a one-to-one and a one-to-many relationship?,"In a one-to-one relationship, each record in the primary table corresponds to only one record in the related table. In a one-to-many relationship, each record in the primary table can correspond to multiple records in the related table.",
What is a compound key?,"A compound key, also known as a composite key, consists of multiple columns that together uniquely identify each row in a table.",
How does normalization help in database design?,Normalization reduces data redundancy and ensures data integrity by organizing tables into logical structures that minimize duplication and dependency.,
"What is denormalization, and when is it appropriate to use?",Denormalization is the process of intentionally introducing redundancy into a database schema to improve query performance. It is appropriate when read performance is more critical than data modification performance and when data redundancy does not compromise data integrity.,
What is a functional dependency in the context of database design?,A functional dependency exists when the value of one attribute uniquely determines the value of another attribute in the same table.,
What is a partial dependency?,A partial dependency occurs when a non-prime attribute is functionally dependent on only part of a composite primary key.,
Explain the concept of multi-valued dependency.,A multi-valued dependency exists when the presence of one or more rows in a table implies the presence of multiple rows in another table.,
"What is a transitive dependency, and why is it undesirable in a normalized database?",A transitive dependency occurs when a non-prime attribute depends on another non-prime attribute rather than the candidate key. It is undesirable in a normalized database because it can lead to data redundancy and update anomalies.,
What is the difference between vertical and horizontal partitioning in database design?,"Vertical partitioning divides a table by columns, while horizontal partitioning divides a table by rows.",
Explain the concept of sharding in database architecture.,"Sharding is the practice of dividing a database into smaller, more manageable parts called shards and distributing them across multiple servers.",
"What are surrogate keys, and why are they used?",Surrogate keys are system-generated unique identifiers used as primary keys when natural keys are unavailable or unsuitable. They are used to ensure uniqueness and simplify database operations.,
"What is a foreign key constraint, and how does it enforce referential integrity?","A foreign key constraint is a rule that ensures that values in a column (or columns) of one table match values in a referenced column (usually the primary key) of another table. It enforces referential integrity by preventing actions that would violate the defined relationships, such as inserting a row with a foreign key value that does not exist in the referenced table.",
How does database normalization reduce redundancy and improve efficiency?,"Database normalization organizes data into logical structures that minimize redundancy and dependency, reducing the storage space required and improving data consistency and integrity.",
Explain the concept of data integrity in the context of databases.,"Data integrity ensures the accuracy, consistency, and reliability of data stored in a database. It is maintained through mechanisms such as constraints, validation rules, and data integrity checks.",
What are the advantages of using stored procedures in a database?,"Advantages of using stored procedures include improved performance, enhanced security, encapsulation of business logic, and reduced network traffic.",
"What is a self-referencing table, and how is it used?",A self-referencing table is a table that contains a foreign key that references its own primary key. It is commonly used to represent hierarchical data structures such as organizational charts or product categories.,
"What is an inner join in SQL, and how does it differ from an outer join?","An inner join in SQL returns only the rows from both tables that satisfy the join condition, while an outer join returns all rows from one table and the matching rows from the other table(s), with nulls for unmatched rows.",
Explain the concept of database normalization and its different forms.,"Database normalization is the process of organizing data into tables to reduce redundancy and dependency. First Normal Form (1NF) eliminates repeating groups, Second Normal Form (2NF) eliminates partial dependencies, and Third Normal Form (3NF) eliminates transitive dependencies.",
What is the role of primary keys and foreign keys in establishing relationships between tables?,"Primary keys uniquely identify each record in a table, while foreign keys establish relationships between tables by referencing the primary key of another table.",
What is an ACID transaction in database management?,"An ACID transaction is a set of operations (inserts, updates, deletes, etc.) that must be executed atomically, consistently, isolatingly, and durably to ensure data integrity and consistency.",
Explain the concept of data warehousing and its benefits.,"Data warehousing involves collecting, storing, and organizing large volumes of data from multiple sources for analysis and reporting purposes. Benefits include improved decision-making, data analysis, and business intelligence.",
What is the purpose of data modeling in database design?,"Data modeling involves creating a conceptual representation of data objects, relationships, and constraints to facilitate the development of a database schema that meets business requirements.",
What are the different types of data models commonly used in database design?,"Common types of data models include the hierarchical model, network model, relational model, object-oriented model, and entity-relationship model.",
What is the difference between OLTP (Online Transaction Processing) and OLAP (Online Analytical Processing) systems?,"OLTP systems are designed for transactional processing and support day-to-day operations, while OLAP systems are designed for analytical processing and support decision-making and data analysis.",
"What is a star schema in data warehousing, and how does it differ from a snowflake schema?",A star schema is a data modeling technique used in data warehousing where a fact table is surrounded by dimension tables. A snowflake schema is a variation of the star schema where dimension tables are normalized into multiple related tables.,
Explain the concept of indexing in database management.,"Indexing is the process of creating data structures (indexes) to improve the speed of data retrieval operations (e.g., SELECT statements) by allowing for efficient searching and retrieval of data based on specific criteria.",
"What is a clustered index, and how does it differ from a non-clustered index?","A clustered index determines the physical order of rows in a table based on the indexed column(s), while a non-clustered index does not affect the physical order of rows and stores the index separately from the data.",
"What is data replication, and what are its benefits in database management?","Data replication involves copying and storing data in multiple locations to ensure redundancy, fault tolerance, and improved availability and performance.",
"What is database partitioning, and how does it improve performance and scalability?","Database partitioning involves dividing a large database into smaller, more manageable segments called partitions, which can be distributed across multiple disks, servers, or nodes to improve performance, scalability, and manageability.",
What is the difference between horizontal and vertical partitioning in database partitioning strategies?,"Horizontal partitioning divides a table into multiple partitions based on rows, while vertical partitioning divides a table into multiple partitions based on columns.",
Explain the concept of a data dictionary in database management.,"A data dictionary is a centralized repository that stores metadata and information about the structure, organization, and usage of data within a database.",
"What are stored procedures, and what are their advantages and disadvantages?","Stored procedures are precompiled SQL code segments stored in a database and executed on demand. Advantages include improved performance, enhanced security, and encapsulation of business logic. Disadvantages include reduced portability and increased complexity.",
"What is the role of triggers in database management, and when are they used?","Triggers are database objects that automatically execute in response to specified events (e.g., insert, update, delete) on a table. They are used to enforce business rules, maintain data integrity, and automate tasks.",
Explain the concept of database views and their benefits.,"Database views are virtual tables that represent the result set of a predefined query. They provide simplified access to complex data, enhance security by restricting access to specific columns or rows, and facilitate data abstraction and abstraction.",
What is the difference between a database schema and a database instance?,"A database schema is the structure or blueprint of a database, including tables, columns, relationships, and constraints. A database instance, on the other hand, is a snapshot of a database at a specific point in time, including data and metadata.",
"What is data normalization, and why is it important in database design?","Data normalization is the process of organizing data into tables to reduce redundancy and dependency. It is important in database design to improve data integrity, minimize data redundancy, and facilitate data management and querying.",
Explain the concept of database constraints and their role in enforcing data integrity.,"Database constraints are rules or conditions that enforce data integrity by restricting the values allowed in columns or enforcing relationships between tables. Examples include primary key constraints, foreign key constraints, unique constraints, and check constraints.",
What is the purpose of data manipulation language (DML) in database management?,"Data manipulation language (DML) is used to retrieve, insert, update, and delete data in a database. Examples of DML statements include SELECT, INSERT, UPDATE, and DELETE.",
What is the difference between a primary key and a unique key constraint?,"A primary key constraint uniquely identifies each record in a table and cannot contain null values, while a unique key constraint ensures that all values in a column (or set of columns) are distinct but can contain null values.",
Explain the concept of data warehousing and its role in decision support systems.,"Data warehousing involves collecting, storing, and organizing large volumes of data from multiple sources for analysis and reporting purposes. It plays a crucial role in decision support systems by providing a centralized repository of historical and current data for analysis and decision-making.",
"What is the purpose of database indexing, and how does it improve query performance?","Database indexing is the process of creating data structures (indexes) to improve the speed of data retrieval operations by allowing for efficient searching and retrieval of data based on specific criteria (e.g., WHERE clause conditions). Indexes improve query performance by reducing the number of disk I/O operations required to locate and retrieve data.",
What are the advantages and disadvantages of using stored procedures in database management?,"Advantages of stored procedures include improved performance, enhanced security, encapsulation of business logic, and reduced network traffic. Disadvantages include reduced portability, increased complexity, and potential security risks if not properly secured.",
"What is the purpose of data replication in database management, and what are its benefits and challenges?","Data replication involves copying and storing data in multiple locations to ensure redundancy, fault tolerance, and improved availability and performance. Benefits of data replication include increased data availability, improved fault tolerance, and enhanced scalability. Challenges include ensuring data consistency, managing synchronization, and addressing potential conflicts and errors.",
Explain the concept of database partitioning and its different types.,"Database partitioning involves dividing a large database into smaller, more manageable segments called partitions, which can be distributed across multiple disks, servers, or nodes. Common types of database partitioning include horizontal partitioning (dividing a table into partitions based on rows), vertical partitioning (dividing a table into partitions based on columns), and hybrid partitioning (a combination of horizontal and vertical partitioning).",
"What is the role of triggers in database management, and when are they used?","Triggers are database objects that automatically execute in response to specified events (e.g., insert, update, delete) on a table. They are used to enforce business rules, maintain data integrity, and automate tasks such as auditing, logging, and notification.",
"What is the purpose of database views, and what are their benefits and limitations?","Database views are virtual tables that represent the result set of a predefined query. They provide simplified access to complex data, enhance security by restricting access to specific columns or rows, and facilitate data abstraction and abstraction. However, views cannot be indexed, and complex views may impact query performance.",
What is the difference between a database schema and a database instance?,"A database schema is the structure or blueprint of a database, including tables, columns, relationships, and constraints. A database instance, on the other hand, is a snapshot of a database at a specific point in time, including data and metadata. Multiple instances can exist for a single schema.",
"What is data normalization, and why is it important in database design?","Data normalization is the process of organizing data into tables to reduce redundancy and dependency. It is important in database design to improve data integrity, minimize data redundancy, and facilitate data management and querying. Normalized databases are easier to maintain, update, and scale than denormalized databases.",
What is a relational database?,"A relational database is a type of database that organizes data into tables with rows and columns, and establishes relationships between tables.",
What are the different types of database relationships?,"The different types of database relationships include one-to-one, one-to-many, many-to-one, and many-to-many relationships.",
What is a one-to-one relationship?,A one-to-one relationship exists when each record in one table is associated with exactly one record in another table.,
What is a one-to-many relationship?,A one-to-many relationship exists when one record in one table can be associated with multiple records in another table.,
What is a many-to-one relationship?,A many-to-one relationship exists when multiple records in one table can be associated with a single record in another table.,
What is a many-to-many relationship?,A many-to-many relationship exists when multiple records in one table can be associated with multiple records in another table.,
What is a foreign key?,A foreign key is a column or a set of columns in one table that refers to the primary key in another table.,
What is referential integrity?,"Referential integrity ensures that relationships between tables remain consistent and valid, typically enforced through foreign key constraints.",
What is a primary key?,A primary key is a unique identifier for each record in a database table.,
What is the purpose of a foreign key constraint?,A foreign key constraint ensures that values in a foreign key column match values in the primary key column of the related table.,
What is cascading delete?,Cascading delete automatically deletes related records in child tables when a record in the parent table is deleted.,
What is cascading update?,Cascading update automatically updates related records in child tables when a corresponding record in the parent table is updated.,
What is the difference between a composite key and a composite foreign key?,"A composite key is a primary key composed of multiple columns, while a composite foreign key is a foreign key composed of multiple columns.",
What is an associative entity?,An associative entity is a table that resolves a many-to-many relationship between two other tables.,
What is a self-referencing relationship?,A self-referencing relationship occurs when a table contains a foreign key that references its own primary key.,
What is the difference between identifying and non-identifying relationships?,"In an identifying relationship, the child table's primary key includes the parent table's primary key. In a non-identifying relationship, it does not.",
What is inheritance in database design?,"Inheritance allows attributes and relationships defined in one entity to be inherited by another entity, facilitating reuse and simplifying data modeling.",
What is a subtype?,A subtype is a specialized entity that inherits attributes and relationships from a supertype.,
What is the purpose of normalization in database design?,Normalization is used to eliminate data redundancy and improve data integrity by organizing data into well-structured tables without repeating groups of attributes.,
Explain the different normal forms in database normalization.,"The different normal forms include First Normal Form (1NF), Second Normal Form (2NF), Third Normal Form (3NF), Boyce-Codd Normal Form (BCNF), and Fourth Normal Form (4NF). Each normal form addresses specific criteria for eliminating data redundancy and dependency issues.",
What are the advantages of using stored procedures in a database?,"Stored procedures offer improved performance by reducing network traffic, enhance security by controlling access to data, and promote code reusability and maintainability.",
How do you handle NULL values in SQL queries?,"NULL values can be handled using functions like IS NULL or IS NOT NULL to check for NULL values in conditions, or using the COALESCE function to replace NULL values with a specified default value.",
Explain the difference between SQL and NoSQL databases.,"SQL databases are relational databases that use structured query language (SQL) to manage and manipulate data stored in tables with predefined schemas, while NoSQL databases are non-relational databases that use a variety of data models for flexible, scalable, and distributed data storage.",
What is the purpose of an index in a database?,An index is used to improve the speed of data retrieval operations by providing quick access to specific rows in a table based on the values of one or more columns.,
Describe the ACID properties of database transactions.,"ACID stands for Atomicity, Consistency, Isolation, and Durability. Atomicity ensures that transactions are all-or-nothing, Consistency maintains data integrity constraints, Isolation prevents interference between concurrent transactions, and Durability ensures that committed transactions are permanently saved even in the event of system failures.",
What is a deadlock in a database? How can it be prevented?,"A deadlock occurs when two or more transactions are waiting for each other to release locks on resources, resulting in a deadlock situation where none of the transactions can proceed. Deadlocks can be prevented by using techniques such as deadlock detection and prevention algorithms, careful transaction scheduling, and reducing lock contention.",
Explain the difference between a clustered and non-clustered index.,"A clustered index determines the physical order of rows in a table and is typically created on the primary key column(s), while a non-clustered index does not affect the physical order of rows and is stored separately from the data rows.",
What are the advantages and disadvantages of denormalization in database design?,"Denormalization can improve query performance by reducing the number of joins required, but it may lead to data redundancy and increased storage requirements, as well as potentially compromise data integrity if not carefully implemented.",
Describe the concept of referential integrity in a database.,"Referential integrity ensures that relationships between tables are maintained by enforcing constraints such as foreign key relationships, preventing orphaned or invalid references between related tables.",
What is a view in SQL? How is it different from a table?,"A view is a virtual table generated by a query and does not store data directly but retrieves it dynamically from the underlying tables. Unlike a table, a view does not physically store data and provides a customized or filtered representation of the data stored in one or more tables.",
Explain the difference between a subquery and a join in SQL.,"A subquery is a query nested within another query and is used to return a single value or set of values, while a join combines rows from two or more tables based on a related column between them to form a result set.",
What is the purpose of the GROUP BY clause in SQL? Provide an example.,"The GROUP BY clause is used to group rows that have the same values into summary rows, typically used with aggregate functions like SUM, AVG, COUNT, etc. Example: SELECT department, AVG(salary) FROM employees GROUP BY department;",
How do you perform a self-join in SQL? Provide an example.,"A self-join is a join operation where a table is joined with itself. Example: SELECT e1.name, e2.name FROM employees e1 JOIN employees e2 ON e1.manager_id = e2.employee_id;",
What is a stored procedure in SQL? How is it different from a function?,"A stored procedure is a prepared SQL code that can be saved and reused, while a function is a set of SQL statements that accepts inputs, performs actions, and returns results.",
Explain the purpose of the HAVING clause in SQL.,"The HAVING clause is used to filter the results of a GROUP BY clause based on specified conditions. Unlike the WHERE clause, which filters rows before grouping, the HAVING clause filters rows after grouping.",
Describe the difference between an inner join and an outer join in SQL.,"An inner join returns only the rows that have matching values in both tables being joined, while an outer join returns all rows from one table and matching rows from the other table(s) based on the specified join condition.",
What is the purpose of the EXISTS operator in SQL? Provide an example.,The EXISTS operator is used to test for the existence of any rows in a subquery. Example: SELECT * FROM employees WHERE EXISTS (SELECT 1 FROM departments WHERE employees.department_id = departments.department_id);,
Explain the difference between a correlated and a non-correlated subquery.,"A correlated subquery is executed once for each row processed by the outer query, while a non-correlated subquery is executed independently of the outer query and returns a single result for the entire query.",
What is a table in a SQL database?,A table is a structured representation of data organized in rows and columns within a database.,
What is the primary purpose of a table in a SQL database?,The primary purpose of a table is to store and organize related data in a structured format for efficient retrieval and manipulation.,
What are the components of a table in SQL?,The components of a table include columns (fields) and rows (records).,
What is a column in a SQL table?,"A column, also known as a field, represents a specific attribute or data type in a table.",
What is a row in a SQL table?,"A row, also known as a record, represents a single instance or entry of data in a table.",
What is a primary key in a SQL table?,A primary key is a column or a set of columns that uniquely identifies each row in a table.,
Why is a primary key important in a SQL table?,A primary key ensures data integrity by enforcing uniqueness and providing a reference for relationships with other tables.,
What is a foreign key in a SQL table?,A foreign key is a column or a set of columns in a table that establishes a relationship with a primary key in another table.,
What is the purpose of a foreign key in a SQL table?,The purpose of a foreign key is to enforce referential integrity and establish relationships between tables.,
How do you define a primary key constraint in SQL?,A primary key constraint is defined using the PRIMARY KEY keyword followed by the column name(s) when creating a table.,
How do you define a foreign key constraint in SQL?,A foreign key constraint is defined using the FOREIGN KEY keyword followed by the column name(s) and a reference to the primary key column(s) in another table.,
What is a composite key in a SQL table?,A composite key is a primary key composed of multiple columns to uniquely identify each row in a table.,
How to add a new column to an existing SQL table?,add a new column to an existing table using the ALTER TABLE statement with the ADD COLUMN clause.,
How to remove a column from an existing SQL table?,remove a column from an existing table using the ALTER TABLE statement with the DROP COLUMN clause.,
What is the CREATE TABLE statement used for in SQL?,The CREATE TABLE statement is used to create a new table in a database.,
What is the DROP TABLE statement used for in SQL?,The DROP TABLE statement is used to delete an existing table from a database.,
How to rename a table in SQL?,rename a table using the ALTER TABLE statement with the RENAME TO clause.,
What is the purpose of the ALTER TABLE statement in SQL?,"The ALTER TABLE statement is used to modify an existing table's structure, such as adding, modifying, or dropping columns.",
How to add a primary key constraint to an existing SQL table?,add a primary key constraint to an existing table using the ALTER TABLE statement with the ADD CONSTRAINT clause.,
How to remove a primary key constraint from an existing SQL table?,remove a primary key constraint from an existing table using the ALTER TABLE statement with the DROP CONSTRAINT clause.,
What is the purpose of the DESCRIBE statement in SQL?,"The DESCRIBE statement, also known as DESC, is used to display the structure of a table, including column names, data types, and constraints.",
How to view the structure of a table in SQL?,view the structure of a table using the DESCRIBE statement followed by the table name.,
What is the purpose of the INSERT INTO statement in SQL?,The INSERT INTO statement is used to add new rows (records) to a table.,
What is the purpose of the UPDATE statement in SQL?,The UPDATE statement is used to modify existing data in a table.,
Explain the difference between a primary key and a unique key.,"Both primary key and unique key constraints enforce uniqueness, but a table can have only one primary key constraint, while it can have multiple unique key constraints.",
What is a composite key?,A composite key is a primary key composed of multiple columns. It uniquely identifies each row in a table when a single column cannot uniquely identify the rows.,
What is an index?,An index is a data structure that improves the speed of data retrieval operations on a database table by providing quick access to specific rows based on the values of one or more columns.,
Explain the types of indexes in a database.,"The types of indexes include clustered indexes, which define the physical order of rows in a table, and non-clustered indexes, which do not affect the physical order of rows and are stored separately from the data.",
What is a transaction?,A transaction is a unit of work performed on a database that includes one or more SQL statements. It is treated as a single logical operation that must be completed successfully or rolled back entirely.,
What are the ACID properties of a transaction?,"ACID stands for Atomicity, Consistency, Isolation, and Durability. Atomicity ensures that a transaction is all-or-nothing, Consistency maintains data integrity, Isolation prevents interference between transactions, and Durability ensures that committed transactions are permanent.",
Explain the difference between DELETE and TRUNCATE commands.,"DELETE command removes specific rows from a table based on a condition, whereas TRUNCATE command removes all rows from a table without logging individual row deletions, making it faster but non-reversible.",
What is a view in a database?,A view is a virtual table generated by a query that does not store data directly but retrieves it dynamically from the underlying tables. It provides a customized or filtered representation of the data stored in one or more tables.,
What is a stored procedure?,"A stored procedure is a precompiled SQL code that is stored in the database and can be executed by calling its name. It can accept input parameters, perform operations, and return results.",
Explain the difference between a clustered and non-clustered index.,"A clustered index determines the physical order of rows in a table and is created on the primary key column(s), while a non-clustered index does not affect the physical order of rows and is stored separately from the data.",
What is a trigger?,"A trigger is a special type of stored procedure that is automatically executed in response to certain events, such as INSERT, UPDATE, or DELETE operations on a table.",
What is the difference between an inner join and an outer join?,"An inner join returns only the rows that have matching values in both tables being joined, while an outer join returns all rows from one or both tables, including rows with no matching values.",
What is a self-join?,A self-join is a join operation where a table is joined with itself. It is used to combine related rows within the same table.,
Explain the purpose of the GROUP BY clause.,"The GROUP BY clause is used to group rows that have the same values into summary rows and perform aggregate functions like COUNT, SUM, AVG, etc., on each group.",
What is a subquery?,"A subquery is a query nested within another query and is used to return a single value or set of values. It can be used in SELECT, INSERT, UPDATE, or DELETE statements.",
What is the difference between a subquery and a join?,"A subquery is a query nested within another query and returns a single value or set of values, while a join combines rows from two or more tables based on a related column between them.",
What is the purpose of the HAVING clause?,The HAVING clause is used to filter the results of a GROUP BY clause based on specified conditions. It is similar to the WHERE clause but operates on grouped rows.,
What is the purpose of the UNION operator?,"The UNION operator is used to combine the results of two or more SELECT statements into a single result set, removing duplicates.",
What is a deadlock? How can it be prevented?,"A deadlock occurs when two or more transactions are waiting for each other to release locks on resources, resulting in a deadlock situation where none of the transactions can proceed. Deadlocks can be prevented by careful transaction scheduling, reducing lock contention, and using deadlock detection and prevention algorithms.",
What is the purpose of the COMMIT statement?,"The COMMIT statement is used to permanently save the changes made within the current transaction to the database, making them visible to other transactions.",
What is the purpose of the ROLLBACK statement?,The ROLLBACK statement is used to undo changes made to the database since the beginning of the current transaction or to a specific savepoint within the transaction.,
What is the purpose of the GRANT statement?,The GRANT statement is used to give specific privileges or permissions to database users or roles.,
What is the purpose of the REVOKE statement?,The REVOKE statement is used to revoke previously granted privileges or permissions from database users or roles.,
What is the difference between a left join and a right join?,"A left join returns all rows from the left table and matching rows from the right table, while a right join returns all rows from the right table and matching rows from the left table.",
